algorithm,lambda,mean_cost,best_cost,variance,mean_runtime,mean_hospitals,mean_avg_travel,mean_evals
Hill Climbing,1,3167.5589394085164,3167.5589394085164,0.0,0.1525860299821943,60,5.629635759798037,5971
Simulated Annealing,1,3167.5589394085164,3167.5589394085164,0.0,0.9000881799962371,60,5.629635759798037,20000
Hill Climbing,10,3663.9636396219325,3656.337557891604,29.42321542868306,0.1464676900068298,50.1,5.730006593517994,4961
Simulated Annealing,10,3678.3588911481875,3664.3417385403095,59.53631740914581,0.8706131800543517,50.2,5.754273353529325,20000
Hill Climbing,50,5132.866837037506,5075.043635759385,1595.5218529486162,0.070171679998748,27.1,6.843961661299829,2861
Simulated Annealing,50,5204.564765188801,5100.021572419968,3699.9669380075493,0.7354128600563854,28.4,6.856095589110148,20000
Hill Climbing,100,6351.384273252454,6292.327020137303,2351.169487126249,0.08472579000517726,20.9,7.719899045747198,2461
Simulated Annealing,100,6449.727462569679,6365.395620946461,5803.862231771486,0.6691709600156173,19.7,8.115448301756667,20000
